KOEN1
45
1681
<CIRCLE 10 7 1.2 0 0>; 0.0858896 0.0531697 0.00408998 0 0 0 0.0552147 0.0245399 0 0 0 0.206544 0.533742 0.0368098 0 0.0817996 0.0572597 0.00408998 0 0 0 0.00204499 0.0777096 0 0 0 0 0.0265849 0.728016 0.0224949 0.0204499 0.0715746 0.0470348 0.00408998 0 0 0 0.0265849 0.0531697 0 0 0 0 0.00613497 0.770961;
<CIRCLE 16 7 1.2 0 0>; 0.0858896 0 0 0 0 0 0.0654397 0.0204499 0 0 0 0.312883 0.515337 0 0 0.0858896 0 0 0 0 0 0.0102249 0.0756646 0 0 0 0 0.0940695 0.734151 0 0.0122699 0.0736196 0 0 0 0 0 0.0368098 0.0490798 0 0 0 0 0 0.828221;
<CIRCLE 22 7 1.2 0 0>; 0.0858896 0 0 0 0 0 0.0838446 0.00204499 0 0 0 0.404908 0.423313 0 0 0.0858896 0 0 0 0 0 0.0245399 0.0613497 0 0 0 0 0.216769 0.611452 0 0.00817996 0.0777096 0 0 0 0 0 0.0368098 0.0490798 0 0 0 0 0 0.828221;
<CIRCLE 28 7 1.2 0 0>; 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.525562 0.302658 0 0 0.0858896 0 0 0 0 0 0.0245399 0.0613497 0 0 0 0 0.359918 0.466258 0.00204499 0.00817996 0.0777096 0 0 0 0 0 0.0286299 0.0572597 0 0 0 0 0 0.828221;
<CIRCLE 34 7 1.2 0 0>; 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0.00613497 0.638037 0.179959 0.00408998 0 0.0858896 0 0 0 0 0 0.0327198 0.0531697 0 0 0 0 0.470348 0.349693 0.00817996 0.00408998 0.0817996 0 0 0 0 0 0.0204499 0.0654397 0 0 0 0 0.0184049 0.809816;
<CIRCLE 40 7 1.2 0 0>; 0.0858896 0 0 0 0 0.00204499 0.0838446 0 0 0 0.0388548 0.701431 0.0879346 0 0 0.0858896 0 0 0 0 0 0.0429448 0.0429448 0 0 0 0.00817996 0.488753 0.319018 0.0122699 0 0.0858896 0 0 0 0 0 0.0368098 0.0490798 0 0 0 0 0.0429448 0.785276;
<CIRCLE 46 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0245399 0.0613497 0 0 0 0.120654 0.668712 0.0388548 0 0 0.0858896 0 0 0 0 0 0.0613497 0.0245399 0 0 0 0.0306748 0.474438 0.308793 0.0143149 0 0.0858896 0 0 0 0 0 0.0613497 0.0245399 0 0 0 0 0.0674847 0.760736;
<CIRCLE 52 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0490798 0.0368098 0 0 0 0.206544 0.584867 0.0368098 0 0 0.0858896 0 0 0 0 0 0.0777096 0.00817996 0 0 0 0.0552147 0.462168 0.298569 0.0122699 0 0.0858896 0 0 0 0 0 0.0777096 0.00817996 0 0 0 0 0.0817996 0.746421;
<CIRCLE 58 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0695297 0.0163599 0 0 0 0.276074 0.521472 0.0306748 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0756646 0.470348 0.278119 0.00408998 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0817996 0.746421;
<CIRCLE 64 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0777096 0.00817996 0 0 0 0.278119 0.533742 0.0163599 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0736196 0.503067 0.251534 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0817996 0.746421;
<CIRCLE 70 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0777096 0.00817996 0 0 0 0.280164 0.548057 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0736196 0.550102 0.204499 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0817996 0.746421;
<CIRCLE 76 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0777096 0.00817996 0 0 0 0.302658 0.525562 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0736196 0.574642 0.179959 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0817996 0.746421;
<CIRCLE 82 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0 0.339468 0.488753 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0838446 0.584867 0.159509 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0817996 0.746421;
<CIRCLE 88 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0 0.370143 0.458078 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0899796 0.615542 0.122699 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0817996 0.746421;
<CIRCLE 94 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0 0.400818 0.427403 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.130879 0.615542 0.0817996 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0817996 0.746421;
<CIRCLE 100 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0 0.456033 0.372188 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.200409 0.580777 0.0470348 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0817996 0.746421;
<CIRCLE 106 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.0224949 0.494888 0.310838 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.267894 0.507157 0.0531697 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.0899796 0.738241;
<CIRCLE 112 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.0756646 0.466258 0.286299 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.314928 0.468303 0.0449898 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0 0.112474 0.715746;
<CIRCLE 118 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.159509 0.382413 0.286299 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.319018 0.476483 0.0327198 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.00408998 0.132924 0.691207;
<CIRCLE 124 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.194274 0.364008 0.269939 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.316973 0.494888 0.0163599 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0122699 0.139059 0.676892;
<CIRCLE 130 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.188139 0.378323 0.261759 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0.0102249 0.298569 0.513292 0.00613497 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0122699 0.132924 0.683027;
<CIRCLE 136 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.143149 0.466258 0.218814 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0.0306748 0.261759 0.535787 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0163599 0.110429 0.701431;
<CIRCLE 142 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.114519 0.552147 0.161554 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0.0368098 0.249489 0.541922 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0224949 0.0981595 0.707566;
<CIRCLE 148 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.110429 0.613497 0.104294 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0.0347648 0.239264 0.554192 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0470348 0.0858896 0.695297;
<CIRCLE 154 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.104294 0.680982 0.0429448 0 0 0 0.0858896 0 0 0 0 0.00408998 0.0817996 0 0 0 0.0143149 0.245399 0.568507 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0654397 0.0838446 0.678937;
<CIRCLE 160 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.0817996 0.721881 0.0245399 0 0 0 0.0858896 0 0 0 0 0.0163599 0.0695297 0 0 0 0.00613497 0.231084 0.591002 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0674847 0.0940695 0.666667;
<CIRCLE 166 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.0429448 0.766871 0.0184049 0 0 0 0.0858896 0 0 0 0 0.0204499 0.0654397 0 0 0 0 0.212679 0.615542 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0490798 0.102249 0.676892;
<CIRCLE 172 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.0102249 0.799591 0.0184049 0 0 0 0.0858896 0 0 0 0 0.0204499 0.0654397 0 0 0 0 0.220859 0.607362 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0347648 0.112474 0.680982;
<CIRCLE 178 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.00613497 0.803681 0.0184049 0 0 0 0.0858896 0 0 0 0 0.00817996 0.0777096 0 0 0 0 0.235174 0.593047 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0245399 0.122699 0.680982;
<CIRCLE 184 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.0122699 0.815951 0 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.280164 0.548057 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0347648 0.118609 0.674847;
<CIRCLE 190 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.0429448 0.785276 0 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.349693 0.478528 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0429448 0.116564 0.668712;
<CIRCLE 196 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.118609 0.709611 0 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.443763 0.384458 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0429448 0.118609 0.666667;
<CIRCLE 202 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.263804 0.564417 0 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0.0122699 0.535787 0.280164 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0327198 0.130879 0.664622;
<CIRCLE 208 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.443763 0.384458 0 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0.0613497 0.558282 0.208589 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0327198 0.139059 0.656442;
<CIRCLE 214 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.588957 0.239264 0 0 0 0 0.0858896 0 0 0 0 0.00408998 0.0817996 0 0 0 0.124744 0.552147 0.151329 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0470348 0.143149 0.638037;
<CIRCLE 220 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.668712 0.159509 0 0 0 0 0.0858896 0 0 0 0 0.00408998 0.0817996 0 0 0 0.194274 0.541922 0.0920245 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0674847 0.147239 0.613497;
<CIRCLE 226 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0 0.697342 0.130879 0 0 0 0 0.0858896 0 0 0 0 0.0163599 0.0695297 0 0 0 0.226994 0.550102 0.0511247 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0817996 0.145194 0.601227;
<CIRCLE 232 7 1.2 0 0>; 0.0858896 0 0 0 0 0.0858896 0 0 0.00204499 0.723926 0.102249 0 0 0 0 0.0858896 0 0 0 0 0.0408998 0.0449898 0 0 0 0.247444 0.560327 0.0204499 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0817996 0.147239 0.599182;
<CIRCLE 238 7 1.2 0 0>; 0.0858896 0 0 0 0.0204499 0.0654397 0 0 0.0511247 0.723926 0.0531697 0 0 0 0 0.0858896 0 0 0 0 0.0613497 0.0245399 0 0 0 0.271984 0.554192 0.00204499 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0817996 0.147239 0.599182;
<CIRCLE 244 7 1.2 0 0>; 0.0858896 0 0 0 0.0449898 0.0408998 0 0 0.145194 0.672802 0.0102249 0 0 0 0 0.0858896 0 0 0 0 0.0838446 0.00204499 0 0 0 0.304703 0.523517 0 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0838446 0.149284 0.595092;
<CIRCLE 250 7 1.2 0 0>; 0.0858896 0 0 0 0.0695297 0.0163599 0 0 0.241309 0.586912 0 0 0 0 0 0.0858896 0 0 0 0 0.0858896 0 0 0 0 0.327198 0.501022 0 0 0 0 0.0858896 0 0 0 0 0 0.0858896 0 0 0 0 0.0899796 0.147239 0.591002;
<CIRCLE 7 13 1.2 0 0>; 0.0143149 0.0817996 0.00408998 0 0 0 0.0102249 0.0122699 0 0 0 0.182004 0.513292 0.169734 0.0122699 0.0143149 0.0736196 0.0122699 0 0 0 0 0.0224949 0 0 0 0 0.00613497 0.711656 0.159509 0.00408998 0.0102249 0.0817996 0.00408998 0 0 0 0.00204499 0.0204499 0 0 0 0 0.00204499 0.875256;
<CIRCLE 13 13 1.2 0 0>; 0.0143149 0.0143149 0 0 0 0 0.0143149 0.00817996 0 0 0 0.261759 0.548057 0.139059 0 0.0143149 0.0143149 0 0 0 0 0 0.0224949 0 0 0 0 0.0388548 0.760736 0.149284 0.00204499 0.0122699 0.0143149 0 0 0 0 0.00613497 0.0163599 0 0 0 0 0 0.948875;
<CIRCLE 19 13 1.2 0 0>; 0.0143149 0 0 0 0 0 0.0224949 0 0 0 0 0.353783 0.492843 0.116564 0 0.0143149 0 0 0 0 0 0.00408998 0.0184049 0 0 0 0 0.112474 0.719836 0.130879 0.00204499 0.0122699 0 0 0 0 0 0.0163599 0.00613497 0 0 0 0 0 0.96319;
<CIRCLE 25 13 1.2 0 0>; 0.0143149 0 0 0 0 0 0.0224949 0 0 0 0 0.445808 0.382413 0.134969 0 0.0143149 0 0 0 0 0 0.0102249 0.0122699 0 0 0 0 0.206544 0.623722 0.132924 0.00204499 0.0122699 0 0 0 0 0 0.0102249 0.0122699 0 0 0 0 0 0.96319;
<CIRCLE 31 13 1.2 0 0>; 0.0143149 0 0 0 0 0 0.0224949 0 0 0 0 0.535787 0.271984 0.155419 0 0.0143149 0 0 0 0 0 0.00817996 0.0143149 0 0 0 0 0.308793 0.498978 0.155419 0 0.0143149 0 0 0 0 0 0 0.0224949 0 0 0 0 0 0.96319;
<CIRCLE 37 13 1.2 0 0>; 0.0143149 0 0 0 0 0 0.0224949 0 0 0 0.00613497 0.605317 0.177914 0.149284 0.0245399 0.0143149 0 0 0 0 0 0.00613497 0.0163599 0 0 0 0 0.351738 0.427403 0.184049 0 0.0143149 0 0 0 0 0 0.00613497 0.0163599 0 0 0 0 0.0102249 0.952965;
<CIRCLE 43 13 1.2 0 0>; 0.0143149 0 0 0 0 0 0.0224949 0 0 0 0.0327198 0.633947 0.126789 0.122699 0.0470348 0.0143149 0 0 0 0 0 0.0143149 0.00817996 0 0 0 0.00408998 0.341513 0.411043 0.206544 0 0.0143149 0 0 0 0 0 0.0143149 0.00817996 0 0 0 0 0.0224949 0.940695;
