KOEN1
45
1681
<CIRCLE 10 7 1.2 0 0>; 0 0 0.0654397 0.586912 0.163599 0.0899796 0.0797546 0.0143149 0 0 0 0 0 0 0 0 0 0.527607 0.355828 0.104294 0.0122699 0 0 0 0 0 0 0 0 0 0 0 0.529652 0.374233 0.0961145 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 16 7 1.2 0 0>; 0 0 0.0613497 0.633947 0.143149 0.0817996 0.0654397 0.0143149 0 0 0 0 0 0 0 0 0 0.560327 0.331288 0.0981595 0.0102249 0 0 0 0 0 0 0 0 0 0 0 0.631902 0.296524 0.0715746 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 22 7 1.2 0 0>; 0 0 0.0817996 0.691207 0.139059 0.0654397 0.0224949 0 0 0 0 0 0 0 0 0 0 0.666667 0.282209 0.0511247 0 0 0 0 0 0 0 0 0 0 0 0 0.746421 0.233129 0.0204499 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 28 7 1.2 0 0>; 0 0 0.0879346 0.801636 0.0940695 0.0163599 0 0 0 0 0 0 0 0 0 0 0 0.824131 0.169734 0.00613497 0 0 0 0 0 0 0 0 0 0 0 0 0.883436 0.116564 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 34 7 1.2 0 0>; 0 0 0.196319 0.797546 0.00613497 0 0 0 0 0 0 0 0 0 0 0 0 0.948875 0.0511247 0 0 0 0 0 0 0 0 0 0 0 0 0 0.965235 0.0347648 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 40 7 1.2 0 0>; 0 0 0.325153 0.674847 0 0 0 0 0 0 0 0 0 0 0 0 0 0.97137 0.0286299 0 0 0 0 0 0 0 0 0 0 0 0 0 0.981595 0.0184049 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 46 7 1.2 0 0>; 0 0 0.415133 0.562372 0.0224949 0 0 0 0 0 0 0 0 0 0 0 0 0.873211 0.126789 0 0 0 0 0 0 0 0 0 0 0 0 0 0.924335 0.0756646 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 52 7 1.2 0 0>; 0 0 0.384458 0.572597 0.0429448 0 0 0 0 0 0 0 0 0 0 0 0 0.728016 0.271984 0 0 0 0 0 0 0 0 0 0 0 0 0 0.689162 0.310838 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 58 7 1.2 0 0>; 0 0 0.298569 0.656442 0.0449898 0 0 0 0 0 0 0 0 0 0 0 0 0.685072 0.314928 0 0 0 0 0 0 0 0 0 0 0 0 0 0.566462 0.429448 0.00408998 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 64 7 1.2 0 0>; 0 0 0.306748 0.652352 0.0408998 0 0 0 0 0 0 0 0 0 0 0 0 0.744376 0.255624 0 0 0 0 0 0 0 0 0 0 0 0 0 0.597137 0.398773 0.00408998 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 70 7 1.2 0 0>; 0 0 0.449898 0.550102 0 0 0 0 0 0 0 0 0 0 0 0 0 0.836401 0.163599 0 0 0 0 0 0 0 0 0 0 0 0 0 0.713701 0.286299 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 76 7 1.2 0 0>; 0 0 0.625767 0.374233 0 0 0 0 0 0 0 0 0 0 0 0 0 0.944785 0.0552147 0 0 0 0 0 0 0 0 0 0 0 0 0 0.903885 0.0961145 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 82 7 1.2 0 0>; 0 0 0.695297 0.304703 0 0 0 0 0 0 0 0 0 0 0 0 0 0.97546 0.0245399 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9591 0.0408998 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 88 7 1.2 0 0>; 0 0 0.725971 0.274029 0 0 0 0 0 0 0 0 0 0 0 0 0 0.98773 0.0122699 0 0 0 0 0 0 0 0 0 0 0 0 0 0.981595 0.0184049 0 0 0 0 0 0 0 0 0 0 0;
<CIRCLE 94 7 1.2 0 0>; 0 0 0.762781 0.237219 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0;
